Match Number,Round Number,Date,Location,Home Team,Away Team,Result
100,12,24/11/2024 16:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Angers SCO,1 - 0
104,12,24/11/2024 16:00,Stade de la Beaujoire,FC Nantes,Havre Athletic Club,0 - 2
105,12,24/11/2024 19:45,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,2 - 1
115,13,29/11/2024 19:45,Stade Auguste Delaune,Stade DE Reims,RC Lens,
116,13,30/11/2024 16:00,Roazhon Park,Stade Rennais FC,AS Saint-Étienne,
109,13,30/11/2024 18:00,Stade Francis-Le Blé,Stade Brestois 29,RC Strasbourg Alsace,
114,13,30/11/2024 20:00,Parc des Princes,Paris Saint-Germain,FC Nantes,
113,13,01/12/2024 14:00,Stade de la Mosson,Montpellier Hérault SC,LOSC Lille,
110,13,01/12/2024 16:00,Stade Océane,Havre Athletic Club,Angers SCO,
111,13,01/12/2024 16:00,Groupama Stadium,Olympique Lyonnais,OGC Nice,
117,13,01/12/2024 16:00,Stadium Municipal,Toulouse FC,AJ Auxerre,
112,13,01/12/2024 19:45,Orange Vélodrome,Olympique de Marseille,AS Monaco,
121,14,06/12/2024 18:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,Stade Brestois 29,
119,14,06/12/2024 20:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Paris Saint-Germain,
122,14,07/12/2024 16:00,Stade Louis II,AS Monaco,Toulouse FC,
124,14,07/12/2024 18:00,Allianz Riviera,OGC Nice,Havre Athletic Club,
118,14,07/12/2024 20:00,Stade Raymond Kopa,Angers SCO,Olympique Lyonnais,
120,14,08/12/2024 14:00,Stade Bollaert-Delelis,RC Lens,Montpellier Hérault SC,
123,14,08/12/2024 16:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,
126,14,08/12/2024 16:00,Stade de la Meinau,RC Strasbourg Alsace,Stade DE Reims,
125,14,08/12/2024 19:45,Stade Geoffroy-Guichard,AS Saint-Étienne,Olympique de Marseille,
135,15,13/12/2024 19:45,Stadium Municipal,Toulouse FC,AS Saint-Étienne,
130,15,14/12/2024 16:00,Orange Vélodrome,Olympique de Marseille,LOSC Lille,
127,15,14/12/2024 18:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Lens,
133,15,14/12/2024 20:00,Stade Auguste Delaune,Stade DE Reims,AS Monaco,
131,15,15/12/2024 14:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,
