Match Number,Round Number,Date,Location,Home Team,Away Team,Result
33,4,15/09/2024 13:00,Roazhon Park,Stade Rennais FC,Montpellier Hérault SC,3 - 0
31,4,15/09/2024 15:00,Stade de la Beaujoire,FC Nantes,Stade DE Reims,1 - 2
35,4,15/09/2024 15:00,Stade de la Meinau,RC Strasbourg Alsace,Angers SCO,1 - 1
36,4,15/09/2024 15:00,Stadium Municipal,Toulouse FC,Havre Athletic Club,2 - 0
29,4,15/09/2024 18:45,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,0 - 0
43,5,20/09/2024 18:45,Allianz Riviera,OGC Nice,AS Saint-Étienne,8 - 0
39,5,21/09/2024 15:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,RC Strasbourg Alsace,3 - 3
45,5,21/09/2024 17:00,Roazhon Park,Stade Rennais FC,RC Lens,1 - 1
44,5,21/09/2024 19:00,Stade Auguste Delaune,Stade DE Reims,Paris Saint-Germain,1 - 1
41,5,22/09/2024 13:00,Stade Louis II,AS Monaco,Havre Athletic Club,3 - 1
37,5,22/09/2024 15:00,Stade Raymond Kopa,Angers SCO,FC Nantes,1 - 1
38,5,22/09/2024 15:00,Stade Francis-Le Blé,Stade Brestois 29,Toulouse FC,2 - 0
