Match Number,Round Number,Date,Location,Home Team,Away Team,Result
223,25,09/03/2025 01:00,MAC³PARK Stadion,PEC Zwolle,Ajax,
224,25,09/03/2025 01:00,AFAS Stadion,AZ,RKC Waalwijk,
225,25,09/03/2025 01:00,De Kuip,Feyenoord,FC Groningen,
226,26,16/03/2025 01:00,Abe Lenstra Stadion,sc Heerenveen,Heracles Almelo,
227,26,16/03/2025 01:00,Johan Cruyff Arena,Ajax,AZ,
228,26,16/03/2025 01:00,Stadion Galgenwaard,FC Utrecht,N.E.C. Nijmegen,
229,26,16/03/2025 01:00,De Adelaarshorst,Go Ahead Eagles,Willem II,
230,26,16/03/2025 01:00,De Grolsch Veste,FC Twente,Feyenoord,
231,26,16/03/2025 01:00,Euroborg,FC Groningen,Fortuna Sittard,
232,26,16/03/2025 01:00,Yanmar Stadion,Almere City FC,NAC Breda,
233,26,16/03/2025 01:00,Het Kasteel,Sparta Rotterdam,PEC Zwolle,
234,26,16/03/2025 01:00,Mandemakers Stadion,RKC Waalwijk,PSV,
235,27,30/03/2025 01:00,Fortuna Sittard Stadion,Fortuna Sittard,Sparta Rotterdam,
236,27,30/03/2025 01:00,Rat Verlegh Stadion,NAC Breda,FC Groningen,
237,27,30/03/2025 01:00,Koning Willem II Stadion,Willem II,Almere City FC,
238,27,30/03/2025 01:00,De Kuip,Feyenoord,Go Ahead Eagles,
239,27,30/03/2025 01:00,Erve Asito,Heracles Almelo,FC Twente,
240,27,30/03/2025 01:00,Stadion Galgenwaard,FC Utrecht,sc Heerenveen,
241,27,30/03/2025 01:00,MAC³PARK Stadion,PEC Zwolle,RKC Waalwijk,
242,27,30/03/2025 01:00,Philips Stadion,PSV,Ajax,
243,27,30/03/2025 01:00,Goffertstadion,N.E.C. Nijmegen,AZ,
244,28,06/04/2025 02:00,Abe Lenstra Stadion,sc Heerenveen,Willem II,
245,28,06/04/2025 02:00,Mandemakers Stadion,RKC Waalwijk,Heracles Almelo,
246,28,06/04/2025 02:00,Yanmar Stadion,Almere City FC,PEC Zwolle,
247,28,06/04/2025 02:00,Euroborg,FC Groningen,PSV,
248,28,06/04/2025 02:00,De Adelaarshorst,Go Ahead Eagles,FC Utrecht,
249,28,06/04/2025 02:00,De Grolsch Veste,FC Twente,Fortuna Sittard,
250,28,06/04/2025 02:00,Het Kasteel,Sparta Rotterdam,N.E.C. Nijmegen,
251,28,06/04/2025 02:00,AFAS Stadion,AZ,Feyenoord,
252,28,06/04/2025 02:00,Johan Cruyff Arena,Ajax,NAC Breda,
253,29,13/04/2025 02:00,Koning Willem II Stadion,Willem II,Ajax,
254,29,13/04/2025 02:00,Rat Verlegh Stadion,NAC Breda,Go Ahead Eagles,
255,29,13/04/2025 02:00,Erve Asito,Heracles Almelo,AZ,
256,29,13/04/2025 02:00,Goffertstadion,N.E.C. Nijmegen,RKC Waalwijk,
257,29,13/04/2025 02:00,MAC³PARK Stadion,PEC Zwolle,FC Twente,
258,29,13/04/2025 02:00,Het Kasteel,Sparta Rotterdam,sc Heerenveen,
259,29,13/04/2025 02:00,Philips Stadion,PSV,Almere City FC,
260,29,13/04/2025 02:00,Stadion Galgenwaard,FC Utrecht,FC Groningen,
261,29,13/04/2025 02:00,Fortuna Sittard Stadion,Fortuna Sittard,Feyenoord,
262,30,27/04/2025 02:00,Johan Cruyff Arena,Ajax,Sparta Rotterdam,
263,30,27/04/2025 02:00,Euroborg,FC Groningen,Heracles Almelo,
264,30,27/04/2025 02:00,Yanmar Stadion,Almere City FC,Go Ahead Eagles,
265,30,27/04/2025 02:00,Fortuna Sittard Stadion,Fortuna Sittard,Willem II,
266,30,27/04/2025 02:00,AFAS Stadion,AZ,NAC Breda,
267,30,27/04/2025 02:00,De Kuip,Feyenoord,PEC Zwolle,
268,30,27/04/2025 02:00,Mandemakers Stadion,RKC Waalwijk,FC Utrecht,
269,30,27/04/2025 02:00,De Grolsch Veste,FC Twente,PSV,
270,30,27/04/2025 02:00,Abe Lenstra Stadion,sc Heerenveen,N.E.C. Nijmegen,
271,31,04/05/2025 02:00,De Adelaarshorst,Go Ahead Eagles,AZ,
272,31,04/05/2025 02:00,Erve Asito,Heracles Almelo,Feyenoord,
273,31,04/05/2025 02:00,Philips Stadion,PSV,Fortuna Sittard,
274,31,04/05/2025 02:00,Abe Lenstra Stadion,sc Heerenveen,Almere City FC,
275,31,04/05/2025 02:00,Goffertstadion,N.E.C. Nijmegen,Willem II,
276,31,04/05/2025 02:00,Het Kasteel,Sparta Rotterdam,FC Twente,
277,31,04/05/2025 02:00,Stadion Galgenwaard,FC Utrecht,Ajax,
278,31,04/05/2025 02:00,Euroborg,FC Groningen,RKC Waalwijk,
279,31,04/05/2025 02:00,Rat Verlegh Stadion,NAC Breda,PEC Zwolle,
280,32,11/05/2025 02:00,MAC³PARK Stadion,PEC Zwolle,Go Ahead Eagles,
281,32,11/05/2025 02:00,De Kuip,Feyenoord,PSV,
282,32,11/05/2025 02:00,Koning Willem II Stadion,Willem II,Heracles Almelo,
283,32,11/05/2025 02:00,Mandemakers Stadion,RKC Waalwijk,sc Heerenveen,
284,32,11/05/2025 02:00,Fortuna Sittard Stadion,Fortuna Sittard,NAC Breda,
285,32,11/05/2025 02:00,De Grolsch Veste,FC Twente,FC Utrecht,
286,32,11/05/2025 02:00,Johan Cruyff Arena,Ajax,N.E.C. Nijmegen,
287,32,11/05/2025 02:00,AFAS Stadion,AZ,FC Groningen,
288,32,11/05/2025 02:00,Yanmar Stadion,Almere City FC,Sparta Rotterdam,
289,33,14/05/2025 20:00,Yanmar Stadion,Almere City FC,Fortuna Sittard,
290,33,14/05/2025 20:00,De Grolsch Veste,FC Twente,AZ,
291,33,14/05/2025 20:00,Goffertstadion,N.E.C. Nijmegen,NAC Breda,
292,33,14/05/2025 20:00,Euroborg,FC Groningen,Ajax,
293,33,14/05/2025 20:00,Philips Stadion,PSV,Heracles Almelo,
294,33,14/05/2025 20:00,De Kuip,Feyenoord,RKC Waalwijk,
295,33,14/05/2025 20:00,Koning Willem II Stadion,Willem II,PEC Zwolle,
296,33,14/05/2025 20:00,Stadion Galgenwaard,FC Utrecht,Sparta Rotterdam,
297,33,14/05/2025 20:00,De Adelaarshorst,Go Ahead Eagles,sc Heerenveen,
298,34,18/05/2025 14:30,MAC³PARK Stadion,PEC Zwolle,FC Groningen,
299,34,18/05/2025 14:30,Fortuna Sittard Stadion,Fortuna Sittard,FC Utrecht,
300,34,18/05/2025 14:30,Johan Cruyff Arena,Ajax,FC Twente,
301,34,18/05/2025 14:30,Het Kasteel,Sparta Rotterdam,PSV,
302,34,18/05/2025 14:30,Rat Verlegh Stadion,NAC Breda,Willem II,
303,34,18/05/2025 14:30,AFAS Stadion,AZ,Almere City FC,
304,34,18/05/2025 14:30,Erve Asito,Heracles Almelo,N.E.C. Nijmegen,
305,34,18/05/2025 14:30,Mandemakers Stadion,RKC Waalwijk,Go Ahead Eagles,
306,34,18/05/2025 14:30,Abe Lenstra Stadion,sc Heerenveen,Feyenoord,
